sample,Hash,nReads
SA_201703B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2430
CP_201708B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1231
LK_201708A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,502
SA_201703C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2755
LK_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5
LK_201708C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,364
LK_201707B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,53
TW_201709B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,352
TW_201709B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,23
TR_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,15282
TR_201711C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3319
SA_201711A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,193
TR_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1231
LL_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5
TW_201711A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,23
TR_201703B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16952
PO_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,23
SA_201709A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,38
Kangaroo.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3
SA_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2194
TR_201703A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,14601
PO_201711B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9
TR_201703C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,19571
TR_201703C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10685
LL_201709A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,782
LL_201709C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,200
TR_201703B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16691
TW_201709C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,12
TR_201711A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2579
LL_201709B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,119
FH_201708B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,11
TW_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4550
TW_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3981
SA_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4871
TW_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3957
TW_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,13
SA_201711A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,19
TR_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,85
LL_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,12
TR_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,15696
SA_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4352
TW_201711A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3
PO_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3271
TR_201703B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,6
PO_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1076
