sample,Hash,nReads
FH_201710A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,724
FH_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3920
CP_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1763
CP_201710B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2632
CP_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1168
CP_201710A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2282
FH_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,38
LK_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1906
LK_201710B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1862
CP_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2767
CP_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1440
FH_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1204
LK_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,425
FH_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1909
CP_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1283
FH_201710A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1850
CP_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1334
FH_201710B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1325
CP_201710B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2611
CP_201710C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2176
LK_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1311
CP_201710B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1415
LK_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2557
CP_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,118
LK_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3659
CP_201710C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1264
LK_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2150
CP_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2087
FH_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,197
FH_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2205
FH_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1241
CP_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2827
LK_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2340
CP_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3506
LK_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2912
