ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
420,Chromista,Bacillariophyta,Coscinodiscophyceae,Corethrales,Corethraceae,Corethron,criophilium,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,Reference missing,Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
421,Animalia,Mollusca,Gastropoda,Thecosomata,Cymbuliidae,Corolla,spectabilis,Spectacular coralla (pteropod),,"Amorphous, Aragonite",Aragonite,Race Rocks,"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
422,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,crassicorne,Gammarid amphipod,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Kozloff 1974,Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
423,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,acherusicum,Gammarid amphipod,Non-indigenous,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",C. Mills,Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
424,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,insidiosum,Gammarid amphipod,Non-indigenous,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",C. Mills,Wilt et al 2003,"Roer Dillaman 1984, Dillaman 2005, Bosselman, Raz 2002; even if no ACC in shell, likely ACC precursor",ITIS
425,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Corycaeidae,Corycaeus,anglicus,,,No mineralization,No mineralization,"Cordell, personal communication",Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
426,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Corallimorphidae,Corynactis,californica,Strawberry corallimorpharian,,No mineralization,No mineralization,Emerald Diving,Medina et al 2006,Medina et al 2006,ITIS
427,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,centralis,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
428,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. concinnus,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
429,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. curvatulus,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
430,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. granii,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
431,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. perforatus,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
432,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. radiatus,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
433,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,cf. wailesii,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
434,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,granii,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
435,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,oculus iridis,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
436,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,wailesii,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
