MiSeq_Run,sample,Hash,nReads
5,FH_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,593
5,FH_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,958
5,FH_201707A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6
5,CP_201706B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,559
5,CP_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,999
5,FH_201706B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,29
5,CP_201708A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,513
5,CP_201708B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1025
5,LK_201708A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,212
5,CP_201708C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,779
5,LK_201706B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11
5,LK_201708C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,389
5,CP_201706A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,44
5,CP_201706A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,161
5,SA_201703B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2429
5,CP_201708B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1230
5,LK_201708A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,501
5,SA_201703C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2754
5,LK_201707B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4
5,LK_201708C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,363
5,LK_201707B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,52
5,TW_201709B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,347
5,TW_201709B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,18
5,TR_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,15278
5,TR_201711C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3313
5,SA_201711A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,190
5,TR_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1227
5,LL_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1
5,TW_201711A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,19
5,TR_201703B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16948
5,PO_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,21
5,SA_201709A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,34
5,SA_201711C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2190
5,TR_201703A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,14597
5,PO_201711B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7
5,TR_201703C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,19566
5,TR_201703C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10682
5,LL_201709A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,779
5,LL_201709C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,197
5,TR_201703B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16687
5,TW_201709C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8
5,TR_201711A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2574
5,LL_201709B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,116
5,FH_201708B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,11
5,TW_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4550
5,TW_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3981
5,SA_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4871
5,TW_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3957
5,TW_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,13
5,SA_201711A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,19
5,TR_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,85
5,LL_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,12
5,TR_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,15696
5,SA_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4352
5,TW_201711A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3
5,PO_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3271
5,TR_201703B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,6
5,PO_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1076
5,PO_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,24
5,SA_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,6812
5,PO_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3981
5,TR_201703A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3
5,TR_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,7993
5,PO_201709A.3,9c1b08211a76599faa4a6763b8c564f85d586b36,3949
5,PO_201711B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,42
5,LL_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,44
5,TR_201703C.3,9c1b08211a76599faa4a6763b8c564f85d586b36,10
5,PO_201711A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,21
5,TR_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,10831
5,TR_201703C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,18
5,LL_201709A.3,9c1b08211a76599faa4a6763b8c564f85d586b36,5127
5,LL_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,2639
5,SA_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3701
5,PO_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1290
5,TR_201703B.3,9c1b08211a76599faa4a6763b8c564f85d586b36,7
5,TW_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1662
5,SA_201709C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,7828
5,TR_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,11920
5,TR_201711A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,114
5,TR_201709A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,13322
5,LL_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,4113
5,SA_201703B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,785
5,LK_201707A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,40
5,SA_201703C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,900
5,LK_201706A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,190
5,SA_201703A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,844
5,CP_201707C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,42
5,CP_201706B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,357
5,FH_201706A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,84
